NROEMPRESA;SEQPRODUTO;DESCCOMPLETA;DTAHORAMOVTO;INDENTRADASAIDA;ENDERECO;MOVIMENTACAO;SALDOENDERECO;SALDO_ATUAL;QTDMOVTO;MOVIMENTADO;SALDO_ANTERIOR;EMB;ORIGEM_OU_DESTINO;USUMOVTO;NOME;MITIVO_AJUSTE;SEQLOTE;DESCLINHASEPAR
107;48439;CHOC LACTA 40G 5STAR;12/05/2026 08:11:56;E;END.01.024.73.1.1;CANCELAMENTO DE EXPEDIÇÃO;-324;-18;72;4;-22;DP 18;DEP 01 CARGA 1479940 LOTE 6 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;6;BOMBONIERE
107;110671;EMB SACO ESTRELA 34X50 VALG COM 815;09/05/2026 09:40:15;E;END.01.004.47.1.1;CANCELAMENTO DE EXPEDIÇÃO;1038;173;18;3;170;CX 6;DEP 01 CARGA 1474518 LOTE 1 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;1;EMBALAGENS
107;95247;EMB SACOLA STOK TAM 38X48;09/05/2026 10:59:49;E;END.01.005.14.1.1;CANCELAMENTO DE EXPEDIÇÃO;551000;551;100000;100;451;CX 1000;DEP 01 CARGA 1475233 LOTE 1 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;1;EMBALAGENS
107;110671;EMB SACO ESTRELA 34X50 VALG COM 815;09/05/2026 10:59:49;E;END.01.004.47.1.1;CANCELAMENTO DE EXPEDIÇÃO;1140;190;12;2;188;CX 6;DEP 01 CARGA 1475233 LOTE 1 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;1;EMBALAGENS
107;1702;VINAGRE ROSINA 750ML MACA;13/05/2026 13:37:39;E;END.01.063.142.1.1;CANCELAMENTO DE EXPEDIÇÃO;4284;357;1080;90;267;CX 12;DEP 01 CARGA 1480535 LOTE 6 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;6;MATINAIS AG
107;104960;TAPETE HIG ULTRA CAO 60X80CM C/30;13/05/2026 10:18:08;E;END.01.094.130.2.1;CANCELAMENTO DE EXPEDIÇÃO;40;10;4;1;9;CX 4;DEP 01 CARGA 1480732 LOTE 10 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;10;PET SHOP HIGIENE
107;116715;ROUPA HOME PET TAM G;13/05/2026 10:18:08;E;END.01.094.129.2.2;CANCELAMENTO DE EXPEDIÇÃO;1075;43;25;1;42;DP 25;DEP 01 CARGA 1480732 LOTE 10 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;10;PET SHOP HIGIENE
107;116716;ROUPA HOME PET TAM M;13/05/2026 10:18:08;E;END.01.094.120.1.1;CANCELAMENTO DE EXPEDIÇÃO;2350;94;50;2;92;DP 25;DEP 01 CARGA 1480732 LOTE 10 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;10;PET SHOP HIGIENE
107;4787;AMIDO MILHO MAIZENA 500G;13/05/2026 09:07:54;E;END.01.011.53.1.1;CANCELAMENTO DE EXPEDIÇÃO;680;17;120;3;14;CX 40;DEP 01 CARGA 1480746 LOTE 18 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;18;PA PESADO
107;4787;AMIDO MILHO MAIZENA 500G;13/05/2026 09:55:36;E;END.01.011.53.1.1;CANCELAMENTO DE EXPEDIÇÃO;760;19;160;4;15;CX 40;DEP 01 CARGA 1480747 LOTE 26 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;26;PA PESADO
107;4787;AMIDO MILHO MAIZENA 500G;13/05/2026 10:20:24;E;END.01.011.53.1.1;CANCELAMENTO DE EXPEDIÇÃO;840;21;80;2;19;CX 40;DEP 01 CARGA 1480748 LOTE 17 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;17;PA PESADO
107;3760;SAL CISNE 1KG IODADO REFINAD;13/05/2026 11:38:40;E;END.01.065.161.1.1;CANCELAMENTO DE EXPEDIÇÃO;7935;793,5;140;14;779,5;FD 10;DEP 01 CARGA 1480744 LOTE 14 QUEBRA 0;51094;ALEXANDRE DANIBERG FERNANDES;Ajuste de Itens;14;PA PESADO
